Unnamed: 0.1	Original Row	CUI1	CUI2	Disease1	Disease2	PubMed1	PubMed2	Common_PubMed_IDs	Level_of_similarity	Level_of_confidence	User Choice	Percent Common Papers	Name Relations	Concept Relation	ID Relation	Num Relations	Num Atoms
151		C0000889	C0018553	Acanthosis Nigricans	"Hamartoma Syndrome, Multiple"	2320	1768	3			4	0	0	2	0	2	24
152		C0010674	C3149149	Cystic Fibrosis	COLOSTRUM SECRETION	49380	6521	3			4	0	0	0	0	0	1
153		C0270612	C1956125	Leukoencephalopathies	Alagille Syndrome 1	29481	886	2			8	0	0	2	0	1	9
154		C0035334	C0085580	Retinitis Pigmentosa	Essential Hypertension	10816	31557	2			8	0	0	2	2	13	24
155		C0152441	C3494506	Madelung Deformity	"Pseudohypoparathyroidism, Type Ia"	178	1855	2			7	1	0	2	0	4	25
156		C0003076	C1852759	Aniridia	Papillorenal syndrome	1493	42	2			7	4	0	0	0	0	25
157		C1720189	C4073107	Episodic Ataxia	Incomplete congenital stationary night blindness	502	110	2			9	1	0	0	0	0	1
158		C0267663	C2678346	"Congenital secretory diarrhea, sodium type"	"Diarrhea 3, Secretory Sodium, Congenital, Syndromic"	7	4	1			1	25	3	0	1	0	3
159		C0152021	C1864722	Congenital heart disease	"Microphthalmia, Cataracts, and Iris Abnormalities"	38751	87	1			4	1	0	0	0	0	3
160		C0751783	C1850764	Lafora Disease	"EPILEPSY, PROGRESSIVE MYOCLONIC 2B"	485	1	1			2	100	0	0	1	0	4
161		C1721007	C1840427	"Pachyonychia Congenita, Type 2"	"PALMOPLANTAR KERATODERMA, EPIDERMOLYTIC, WITH KNUCKLE PADS"	450	9	1			4	11	0	0	0	0	4
162		C0013336	C1969060	Dwarfism	Premature Ovarian Failure 5	17277	1141	1			5	0	0	0	0	0	5
163		C0020676	C1836706	Hypothyroidism	"Hyperthyroidism, Nonautoimmune"	42860	5	1			4	20	0	0	0	0	11
164		C0002312	C4284049	alpha-Thalassemia	HEMOGLOBIN BRESCIA PHENOTYPE	7139	2	1			7	50	0	0	0	0	1
165		C0022340	C0473219	Late-Infantile Neuronal Ceroid Lipfuscinosis	Renal hypouricemia	1984	179	1			8	0	0	2	0	1	13
166		C0031269	C0235833	Peutz-Jeghers Syndrome	Congenital diaphragmatic hernia	2377	6513	1			8	0	0	2	2	4	25
167		C0007959	C0018553	Charcot-Marie-Tooth Disease	"Hamartoma Syndrome, Multiple"	4570	1768	1			9	0	0	2	0	2	25
168		C0033847	C0268318	Pseudoxanthoma Elasticum	Cholestasis of pregnancy	1837	2082	1			7	0	0	2	0	3	24
169		C0238261	C0265950	Lymphedema praecox	Venous malformation	59	32747	1			10	1	0	2	0	2	24
170		C1858438	C2751681	"COLORECTAL CANCER, SUSCEPTIBILITY TO"	"NEUROBLASTOMA, SUSCEPTIBILITY TO, 3"	6432	239	1			9	0	2	0	0	0	3
171		C0019202	C0149841	Hepatolenticular Degeneration	Benign recurrent intrahepatic cholestasis	5625	242	1			7	0	0	2	0	1	20
172		C4284061	C4311040	Hemoglobin Q (Thailand) phenotype	HEMOGLOBIN KURASHIKI	10	74	1			3	10	1	0	1	0	1
173		C0079474	C0268335	Hallopeau-Siemens Disease	Ehlers-Danlos syndrome type 1	1183	585	1			10	0	0	0	0	0	23
174		C0026850	C2750785	Muscular Dystrophy	"MUSCULAR DYSTROPHY, CONGENITAL, LMNA-RELATED"	33784	1	1			9	100	2	0	0	0	6
175		C0028326	C0039445	Noonan Syndrome	Hereditary hemorrhagic telangiectasia	2113	3641	1			6	0	0	2	2	6	24
176		C0238198	C1833921	Gastrointestinal Stromal Tumors	Familial medullary thyroid carcinoma	8324	398	1			7	0	0	2	0	5	24
177		C0017668	C0028860	Focal glomerulosclerosis	Oculocerebrorenal Syndrome	7182	428	1			10	0	0	2	2	7	25
178		C1832827	C4017635	"DEAFNESS, CHILDHOOD-ONSET NEUROSENSORY, AUTOSOMAL RECESSIVE 8"	FH MAINE PHENOTYPE	0	1	0			4	0	0	0	0	0	1
179		C0238198	C1563720	Gastrointestinal Stromal Tumors	Kallmann Syndrome 2	8324	855	0			3	0	0	2	0	2	10
180		C0019243	C4016986	"Angioedemas, Hereditary"	"COMPLEMENT COMPONENT 4, PARTIAL DEFICIENCY OF, DUE TO DYSFUNCTIONAL C1 INHIBITOR"	933	2	0			2	0	0	0	2	0	1
181		C0035828	C1843140	Romano-Ward Syndrome	"SEIZURES, BENIGN FAMILIAL INFANTILE, 3"	345	570	0			2	0	0	2	0	2	9
182		C0007194	C0018133	Hypertrophic Cardiomyopathy	Graft-vs-Host Disease	18881	23684	0			3	0	0	2	0	9	25
183		C0027832	C1366911	Neurofibromatosis 2	Cerebral Cavernous Malformations 1	1810	904	0			4	0	0	0	0	0	3
184		C0004245	C1828221	Atrioventricular Block	Non dystrophic myotonia	12755	74	0			4	0	0	0	0	0	6
185		C4016174	C4284062	HEMOGLOBIN YUKUHASHI PHENOTYPE	Hemoglobin J (Mexico) phenotype	0	0	0			5	0	2	2	0	0	1
186		C1853833	C2239176	"Parkinson Disease 6, Autosomal Recessive Early-Onset"	Liver carcinoma	2	130028	0			6	0	0	2	0	0	11
187		C0005283	C3889869	beta Thalassemia	HEMOGLOBIN ROSEAU-POINTE A PITRE PHENOTYPE	14284	0	0			2	0	0	0	1	0	1
188		C1832702	C1851150	"BRACHYDACTYLY, TYPE A2"	"MULTIPLE MYELOMA, SOMATIC"	13	354	0			3	0	0	0	0	0	2
189		C0011854	C4272382	"Diabetes Mellitus, Insulin-Dependent"	progressive familial intrahepatic cholestasis type 2	92179	138	0			8	0	0	0	0	0	2
190		C0037772	C1832200	Spastic Paraplegia	Peroxisome biogenesis disorders	21054	219	0			9	0	0	0	0	0	8
191		C3891132	C4284269	HEMOGLOBIN MOZHAISK PHENOTYPE	HEMOGLOBIN AUCKLAND PHENOTYPE	1	0	0			4	0	2	0	0	0	1
192		C0035828	C0333463	Romano-Ward Syndrome	Senile Plaques	345	10879	0			7	0	0	2	0	2	20
193		C2720293	C4017521	"MALARIA, RESISTANCE TO"	HEMOGLOBIN S/O (ARAB) PHENOTYPE	12431	7	0			3	0	0	0	1	0	1
194		C1828221	C1854488	Non dystrophic myotonia	Spinocerebellar ataxia 13	74	20	0			8	0	0	0	0	0	6
195		C0238261	C0342278	Lymphedema praecox	"Diabetes Mellitus, Insulin-Resistant, with Acanthosis Nigricans"	59	1	0			6	0	0	2	0	1	20
196		C0242379	C1836635	Malignant neoplasm of lung	Loeys-Dietz Aortic Aneurysm Syndrome	261819	436	0			7	0	0	2	0	2	13
197		C0268362	C0403440	Osteogenesis imperfecta type III	Thin basement membrane disease	492	358	0			7	0	0	2	0	1	15
198		C0018553	C1832529	"Hamartoma Syndrome, Multiple"	HEREDITARY HEMORRHAGIC TELANGIECTASIA-RELATED PULMONARY ARTERIAL HYPERTENSION	1768	3	0			8	0	0	0	0	0	5
199		C0024899	C0220658	Mastocytosis	Pfeiffer Syndrome	6995	2199	0			6	0	0	2	0	4	25
200		C0270862	C1832680	Hemiplegic migraine	"CARDIOMYOPATHY, DILATED, 1E"	999	1	0			5	0	0	2	0	0	10
201		C0028326	C0238261	Noonan Syndrome	Lymphedema praecox	2113	59	0			5	0	0	2	2	3	24
202		C0010278	C0238462	Craniosynostosis	Medullary carcinoma of thyroid	6837	7190	0			6	0	0	2	0	10	25
203		C0039445	C4016102	Hereditary hemorrhagic telangiectasia	"HYPOGONADOTROPIC HYPOGONADISM 2 WITH ANOSMIA, SUSCEPTIBILITY TO"	3641	4	0			5	0	0	0	0	0	1
204		C1832274	C1833308	"Charcot-Marie-Tooth disease, Type 2D"	"NEURONOPATHY, DISTAL HEREDITARY MOTOR, TYPE V"	11	2	0			2	0	0	2	1	1	13
205		C1833921	C3280042	Familial medullary thyroid carcinoma	RETINITIS PIGMENTOSA 62	398	137	0			6	0	0	2	0	1	3
206		C0392514	C4016102	Hereditary hemochromatosis	"HYPOGONADOTROPIC HYPOGONADISM 2 WITH ANOSMIA, SUSCEPTIBILITY TO"	9950	4	0			7	0	0	0	0	0	1
207		C0079583	C4272382	"Ichthyosiform Erythroderma, Congenital"	progressive familial intrahepatic cholestasis type 2	1715	138	0			10	0	0	0	0	0	2
208		C0023931	C0241908	Lobstein's Disease	"Hematuria, Benign Familial"	5402	26	0			6	0	0	2	0	2	24
209		C2750747	C3502809	"NIGHT BLINDNESS, CONGENITAL STATIONARY, TYPE 1C"	Generalized Epilepsy with Febrile Seizures Plus	0	218	0			9	0	0	0	0	0	8
210		C0271695	C0342384	Rabson-Mendenhall Syndrome	Idiopathic hypogonadotropic hypogonadism	214	337	0			5	0	0	2	0	2	13
211		C1275081	C1843256	Cardio-facio-cutaneous syndrome	IRAK4 Deficiency	248	29	0			7	0	0	0	0	0	6
212		C0022603	C1858439	Seborrheic keratosis	"CANCER OF MULTIPLE TYPES, SUSCEPTIBILITY TO"	1607	607	0			8	0	0	0	0	0	1
213		C0028326	C0432217	Noonan Syndrome	Wolcott-Rallison syndrome	2113	91	0			9	0	0	0	0	0	24
214		C4017461	C4017462	HEMOGLOBIN KNOXVILLE-1 PHENOTYPE	HEMOGLOBIN STANLEYVILLE-I PHENOTYPE	0	3633	0			5	0	2	0	1	0	1
215		C2675780	C3278138	"EPIDERMOLYSIS BULLOSA PRURIGINOSA, AUTOSOMAL DOMINANT"	FIBROCHONDROGENESIS 1	10	24	0			9	0	0	0	0	0	2
216		C1838163	C1860909	OSLER-RENDU-WEBER SYNDROME 2	"COLON CANCER, HEREDITARY NONPOLYPOSIS, TYPE 6, SOMATIC"	36	1	0			8	0	0	0	0	0	2
217		C3889360	C4284253	HEMOGLOBIN GREAT LAKES PHENOTYPE	HEMOGLOBIN PERSPOLIS PHENOTYPE	0	0	0			3	0	2	0	0	0	1
218		C0015923	C4023735	Fetal Alcohol Syndrome	Lamellar pulverulent cataract	5235	6	0			10	0	0	0	0	0	1
219		C3889940	C4284044	HEMOGLOBIN J (IRAN) PHENOTYPE	HEMOGLOBIN J PHENOTYPE	0	9	0			2	0	3	0	0	0	1
220		C1865871	C3711381	"HEMANGIOMA, CAPILLARY INFANTILE"	Hereditary Diffuse Leukoencephalopathy with Spheroids	98	83	0			10	0	0	0	0	0	5
221		C0009402	C0080024	Colorectal Carcinoma	Piebaldism	201452	334	0			3	0	0	2	0	6	25
222		C0342384	C1275081	Idiopathic hypogonadotropic hypogonadism	Cardio-facio-cutaneous syndrome	337	248	0			5	0	0	2	0	1	13
223		C0002768	C0009402	Congenital Pain Insensitivity	Colorectal Carcinoma	653	201452	0			6	0	0	2	2	3	25
224		C0265269	C1851150	Lacrimoauriculodentodigital syndrome	"MULTIPLE MYELOMA, SOMATIC"	14	354	0			2	0	0	0	1	0	2
225		C1838647	C4017040	RETINITIS PIGMENTOSA 12	FH LONDON 3 PHENOTYPE	10	23	0			4	0	0	0	0	0	1
226		C4017466	C4284471	HEMOGLOBIN ZIGUINCHOR PHENOTYPE	HEMOGLOBIN J (ROVIGO) PHENOTYPE	0	0	0			2	0	2	0	0	0	1
227		C1864952	C3888239	"Hyperinsulinemic Hypoglycemia, Familial, 5"	"HIRSCHSPRUNG DISEASE, SUSCEPTIBILITY TO, 1"	47	104	0			4	0	0	2	0	0	4
228		C3889356	C3890753	HEMOGLOBIN SEALY PHENOTYPE	HEMOGLOBIN KURDISTAN PHENOTYPE	0	0	0			4	0	2	0	1	0	1
229		C0221026	C3463992	X-linked agammaglobulinemia	"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 1"	865	69	0			6	0	0	2	0	1	7
230		C0812437	C1844678	Oculo-dento-digital syndrome	Progressive hearing loss stapes fixation	22	6	0			7	0	0	2	0	1	19
231		C0043459	C4016757	Zellweger Syndrome	PEROXISOMAL BIOGENESIS DISORDER 3A (ZELLWEGER)	1068	0	0			4	0	1	0	0	0	1
232		C3891103	C3891424	HEMOGLOBIN AICHI PHENOTYPE	HEMOGLOBIN J (SARDEGNA) PHENOTYPE	0	0	0			3	0	2	0	0	0	1
233		C0398626	C4016986	Heparin cofactor II deficiency	"COMPLEMENT COMPONENT 4, PARTIAL DEFICIENCY OF, DUE TO DYSFUNCTIONAL C1 INHIBITOR"	162	2	0			10	0	0	0	0	0	1
234		C1853833	C3714844	"Parkinson Disease 6, Autosomal Recessive Early-Onset"	"Pulmonary Hypertension, Primary, 1, With Hereditary Hemorrhagic Telangiectasia"	2	18	0			9	0	0	2	0	0	11
235		C3889858	C4284511	HEMOGLOBIN RADCLIFFE PHENOTYPE	HEMOGLOBIN DIE PHENOTYPE	0	0	0			9	0	2	0	0	0	1
236		C1834674	C2745959	Bethlem myopathy	"Spondyloepiphyseal dysplasia, congenita"	170	32	0			7	0	0	2	0	0	21
237		C1834870	C3711371	MIRROR MOVEMENTS 1	Spastic Paraplegia Type 4	861	12	0			6	0	0	0	0	0	4
238		C0020305	C0917713	Hydrops Fetalis	Becker Muscular Dystrophy	3289	11109	0			7	0	0	2	2	8	24
239		C3891958	C4284249	HEMOGLOBIN I (INTERLAKEN) PHENOTYPE	HEMOGLOBIN OTTAWA PHENOTYPE	0	0	0			8	0	2	0	0	0	1
240		C2751603	C3501643	"EPILEPSY, IDIOPATHIC GENERALIZED, SUSCEPTIBILITY TO, 10"	"Generalized Epilepsy With Febrile Seizures Plus, Type 5"	0	9	0			8	0	2	0	0	0	3
241		C1282971	C4016327	"von Willebrand Disease, Type 2B"	PEN(a)/PEN(b) ALLOANTIGEN POLYMORPHISM	444	1	0			10	0	0	0	0	0	1
242		C0265344	C0549473	Donohue Syndrome	Thyroid carcinoma	171	68555	0			9	0	0	2	0	0	25
243		C4016172	C4285059	HEMOGLOBIN S (PROVIDENCE) PHENOTYPE	HEMOGLOBIN TSURUMAI PHENOTYPE	1	0	0			9	0	2	0	1	0	1
244		C0039292	C1845028	Tangier Disease	"ANEMIA, SIDEROBLASTIC, AND SPINOCEREBELLAR ATAXIA"	742	9	0			7	0	0	0	0	0	10
245		C4017471	C4017524	BETA-E-THALASSEMIA	HEMOGLOBIN DRENTHE PHENOTYPE	1	0	0			8	0	0	0	1	0	1
246		C1275685	C3151186	Avellino corneal dystrophy	NEPHRONOPHTHISIS 12	111	86	0			10	0	0	2	0	1	3
247		C3890764	C4311008	HEMOGLOBIN MADRID PHENOTYPE	HEMOGLOBIN HK	0	277	0			2	0	1	0	1	0	1
248		C0005283	C3889901	beta Thalassemia	HEMOGLOBIN CAMPINAS PHENOTYPE	14284	0	0			6	0	0	0	0	0	1
249		C1832903	C1837845	"MIGRAINE, SPORADIC HEMIPLEGIC"	"SICK SINUS SYNDROME 1, AUTOSOMAL RECESSIVE"	10	5	0			6	0	0	2	0	0	5
