CUI1	CUI2	Disease1	Disease2	PubMed1	PubMed2	Common_PubMed_IDs	Level_of_similarity	Level_of_confidence
C0001768	C0029422	Agammaglobulinemia	Osteochondrodysplasias	7575	28883	12	1	1
C0000768	C3714844	Congenital Abnormality	"Pulmonary Hypertension, Primary, 1, With Hereditary Hemorrhagic Telangiectasia"	591498	18	12	1	2
C2673883	C3715199	RENAL-HEPATIC-PANCREATIC DYSPLASIA	RENAL-HEPATIC-PANCREATIC DYSPLASIA 1	25	12	12	0	1
C1851161	C1851162	"CERVICAL CANCER, SOMATIC"	"BLADDER CANCER, SOMATIC"	275	398	12	0	1
C0339278	C0521723	Reis-Bucklers' corneal dystrophy	"Corneal dystrophy, epithelial basement membrane"	4409	12	12	0	1
C0028738	C1850993	Nystagmus	"Foveal Hypoplasia, Isolated"	17035	12	12	1	2
C1866080	C3280402	HIGH BONE MASS	SCLEROSTEOSIS 2	23483	51	12	1	2
C1844020	C4228353	"HETEROTAXY, VISCERAL, 1, X-LINKED"	Cardiac malformations	20	168650	12	1	2
C0013069	C1857586	Double Outlet Right Ventricle	CONOTRUNCAL HEART MALFORMATIONS	1990	133	12	0	1
C0024899	C2674636	Mastocytosis	"GASTROINTESTINAL STROMAL TUMOR, FAMILIAL"	6995	348	12	1	2
C0007194	C0346156	Hypertrophic Cardiomyopathy	Benign neoplasm of breast	18881	314690	12	1	1
C0011860	C0432217	"Diabetes Mellitus, Non-Insulin-Dependent"	Wolcott-Rallison syndrome	142114	91	12	1	2
C0085584	C4016725	Encephalopathies	"TELANGIECTASIA, HEREDITARY HEMORRHAGIC, TYPE II"	600000	233	12	1	2
C0000768	C1832702	Congenital Abnormality	"BRACHYDACTYLY, TYPE A2"	591498	13	12	1	2
C3553288	C4016874	HYPEREKPLEXIA 3	"HYPEREKPLEXIA 3, AUTOSOMAL DOMINANT"	102	12	12	0	2
C0018799	C4016650	Heart Diseases	KLIPPEL-FEIL SYNDROME 2	600000	242	12	1	2
C0162809	C1136249	Kallmann Syndrome	"Mental Retardation, X-Linked"	855	14636	12	1	2
C0007097	C1859973	Carcinoma	"Adrenocortical Carcinoma, Pediatric"	600000	12	12	1	2
C1266138	C1266144	Benign cystic nephroma	Pleuropulmonary blastoma	174	338	12	1	2
C0000889	C2239176	Acanthosis Nigricans	Liver carcinoma	2320	130028	12	1	1
C0005684	C0029422	Malignant neoplasm of urinary bladder	Osteochondrodysplasias	59248	28883	12	1	1
C0007102	C1858439	Malignant tumor of colon	"CANCER OF MULTIPLE TYPES, SUSCEPTIBILITY TO"	85229	607	12	1	2
C0033687	C0270685	Proteinuria	Cerebral calcification	58841	5796	12	1	1
C0021051	C3150207	Immunologic Deficiency Syndromes	"AGAMMAGLOBULINEMIA 6, AUTOSOMAL RECESSIVE"	308948	13	12	1	2
C0023467	C1858438	"Leukemia, Myelocytic, Acute"	"COLORECTAL CANCER, SUSCEPTIBILITY TO"	73162	6432	12	1	1
C0751071	C1997614	Familial Dementia	Thromboembolism of vein	188254	10161	12	1	1
C0268274	C4310890	"Gangliosidoses, GM2"	"GM2-GANGLIOSIDOSIS, SUBACUTE"	1749	12	12	0	3
C0007134	C0024899	Renal Cell Carcinoma	Mastocytosis	47304	6995	12	1	1
C1842778	C3280777	Atrial septal defect 2	VENTRICULAR SEPTAL DEFECT 1	37	8122	12	0	1
C0019569	C0158646	Hirschsprung Disease	Cleft palate with cleft lip	4704	15183	12	1	3
C0206686	C1859973	Adrenocortical carcinoma	"Adrenocortical Carcinoma, Pediatric"	3369	12	12	0	3
C0009952	C3150987	Febrile Convulsions	"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 11"	5067	174	12	1	2
C0150312	C0342384	Present	Idiopathic hypogonadotropic hypogonadism	600000	337	12	1	2
C0342384	C4016133	Idiopathic hypogonadotropic hypogonadism	HYPOGONADOTROPIC HYPOGONADISM 7 WITH ANOSMIA	337	73	12	0	2
C1833056	C2676079	"Obesity, early-onset"	"METABOLIC SYNDROME, SUSCEPTIBILITY TO"	1101	2451	12	1	2
C0080024	C4016294	Piebaldism	PIEBALDISM WITH SENSORINEURAL DEAFNESS	334	12	12	0	3
C0686353	C1853698	"Muscular Dystrophies, Limb-Girdle"	Rippling muscle disease	1891	80	12	1	2
C0007115	C1851162	Malignant neoplasm of thyroid	"BLADDER CANCER, SOMATIC"	67377	398	12	1	2
C0431109	C1835398	Choroid Plexus Carcinoma	LI-FRAUMENI SYNDROME 1	308	454	12	0	1
C0268747	C0950122	Diffuse mesangial sclerosis	Frasier Syndrome	171	156	12	1	2
C0019621	C2973725	"Histiocytosis, Langerhans-Cell"	Pulmonary arterial hypertension	10815	19359	12	1	1
C0206654	C0342770	Leiomyomatosis	Fumarase deficiency	1831	51	12	1	2
C1136249	C2678194	"Mental Retardation, X-Linked"	"Mental Retardation, X-Linked, Syndromic, Christianson Type"	14636	12	12	0	2
C0030360	C1855627	Papillon-Lefevre Disease	HAIM-MUNK SYNDROME	441	16	12	0	1
C0234166	C4016874	Hyperexplexia	"HYPEREKPLEXIA 3, AUTOSOMAL DOMINANT"	384	12	12	1	2
C0431399	C3553758	Familial aplasia of the vermis	JOUBERT SYNDROME 18	213	30	12	1	2
C0543888	C1842839	Epileptic encephalopathy	HYPOTRICHOSIS 6	113136	2515	12	1	1
C0149521	C0162316	"Pancreatitis, Chronic"	Iron deficiency anemia	20064	18611	12	1	1
C0206141	C2239176	Idiopathic Hypereosinophilic Syndrome	Liver carcinoma	5338	130028	12	1	1
C0241889	C3887526	Family history	OSTEOARTHRITIS SUSCEPTIBILITY 2	117019	482	12	1	2
C0000889	C0031269	Acanthosis Nigricans	Peutz-Jeghers Syndrome	2320	2377	12	1	3
C0009952	C3150986	Febrile Convulsions	"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 7"	5067	212	12	1	2
C0003076	C0730362	Aniridia	Disorder of macula of retina	1493	3221	12	1	1
C0152025	C0265216	Polyneuropathy	X-linked hydrocephalus syndrome	34361	144	12	1	2
C0023931	C0037769	Lobstein's Disease	West Syndrome	5402	16172	12	1	1
C0026769	C3711381	Multiple Sclerosis	Hereditary Diffuse Leukoencephalopathy with Spheroids	80883	83	12	1	2
C0023374	C4310993	Lesch-Nyhan Syndrome	HPRT PARIS	1369	58	12	1	2
C0033847	C0036202	Pseudoxanthoma Elasticum	Sarcoidosis	1837	29232	12	0	1
C0009952	C1720189	Febrile Convulsions	Episodic Ataxia	5067	502	12	1	2
C0028326	C2674173	Noonan Syndrome	"Achondroplasia, Severe, With Developmental Delay And Acanthosis Nigricans"	2113	2697	12	1	1
C0268337	C0268363	"Ehlers-Danlos syndrome, type 3"	Osteogenesis imperfecta type IV	478	369	12	1	2
C0005684	C0238462	Malignant neoplasm of urinary bladder	Medullary carcinoma of thyroid	59248	7190	12	1	3
C1868081	C3551377	Juvenile Polyposis Coli	COWDEN DISEASE 1	280	634	12	1	2
C0007102	C0022603	Malignant tumor of colon	Seborrheic keratosis	85229	1607	12	1	3
C0013336	C0747102	Dwarfism	Ovarian failure	17277	7254	12	1	1
C0086543	C0270922	Cataract	Peripheral demyelinating neuropathy	68182	2245	12	1	1
C0016037	C0242379	Fibrodysplasia Ossificans Progressiva	Malignant neoplasm of lung	2426	261819	12	1	1
C0340643	C3714756	Dissection of aorta	Intellectual Disability	24314	97825	12	1	3
C0029434	C0037769	Osteogenesis Imperfecta	West Syndrome	5398	16172	12	1	1
C0020676	C3280817	Hypothyroidism	"HYPOTHYROIDISM, CONGENITAL, NONGOITROUS, 6"	42860	12	12	0	3
C0011860	C0206762	"Diabetes Mellitus, Non-Insulin-Dependent"	"Limb Deformities, Congenital"	142114	23025	12	1	3
C0011860	C0948740	"Diabetes Mellitus, Non-Insulin-Dependent"	Hypoplasia of the pituitary gland	142114	2137	12	1	1
C0006142	C1861185	Malignant neoplasm of breast	THROMBOCYTOPENIA 2	309961	200	12	1	2
C0278996	C0339573	Cancer of Head and Neck	"Glaucoma, Primary Open Angle"	312581	16652	12	1	1
C0028754	C3279470	Obesity	HYPOTRICHOSIS 8	294455	1525	12	1	1
C0036341	C0271097	Schizophrenia	Usher Syndrome	134381	1202	12	1	1
C0021655	C1168401	Insulin Resistance	Squamous cell carcinoma of the head and neck	113459	7214	12	1	1
C0039685	C0344432	Tetralogy of Fallot	"Ventricular tachycardia, polymorphic"	11426	2184	12	1	1
C0007193	C4016103	"Cardiomyopathy, Dilated"	"HYPOGONADOTROPIC HYPOGONADISM 2 WITH OR WITHOUT ANOSMIA, SUSCEPTIBILITY TO"	21868	5965	12	1	1
C0003076	C2673946	Aniridia	Foveal hypoplasia (finding)	1493	152	12	1	2
C0011860	C0035372	"Diabetes Mellitus, Non-Insulin-Dependent"	Rett Syndrome	142114	3467	12	1	1
C0024591	C3714580	Malignant hyperpyrexia due to anesthesia	Hypokalemic periodic paralysis type 1	6029	81	12	1	2
C0018553	C0025269	"Hamartoma Syndrome, Multiple"	Multiple Endocrine Neoplasia Type 2b	1768	813	12	0	3
C0011860	C0342898	"Diabetes Mellitus, Non-Insulin-Dependent"	Apolipoprotein A-I deficiency	142114	777	12	1	2
C0021359	C0035334	Infertility	Retinitis Pigmentosa	89090	10816	12	1	1
C1839413	C3714756	Pyruvate Dehydrogenase E1 Alpha Deficiency	Intellectual Disability	15	97825	12	1	2
C0001080	C0028326	Achondroplasia	Noonan Syndrome	2697	2113	12	1	3
C0013575	C0079301	Ectodermal Dysplasia	Junctional Epidermolysis Bullosa	5832	786	12	1	3
C0035828	C0344432	Romano-Ward Syndrome	"Ventricular tachycardia, polymorphic"	345	2184	12	1	2
C0020676	C0024796	Hypothyroidism	Marfan Syndrome	42860	7116	12	1	3
C0007193	C0027819	"Cardiomyopathy, Dilated"	Neuroblastoma	21868	39783	12	1	1
C0004352	C0006142	Autistic Disorder	Malignant neoplasm of breast	21522	309961	12	1	1
C0007193	C0339526	"Cardiomyopathy, Dilated"	Autosomal recessive retinitis pigmentosa	21868	1150	12	1	2
C0035334	C1848172	Retinitis Pigmentosa	"NIGHT BLINDNESS, CONGENITAL STATIONARY, TYPE 2A"	10816	88	12	1	2
C0001768	C0004238	Agammaglobulinemia	Atrial Fibrillation	7575	72805	12	1	1
C0035334	C0270912	Retinitis Pigmentosa	"Charcot-Marie-Tooth Disease, Type Ib"	10816	4570	12	1	1
C0020557	C0035334	Hypertriglyceridemia	Retinitis Pigmentosa	14669	10816	12	1	1
C0007959	C0035334	Charcot-Marie-Tooth Disease	Retinitis Pigmentosa	4570	10816	12	1	1
C0029434	C1567741	Osteogenesis Imperfecta	Alport Syndrome	5398	2387	11	1	1
C0023931	C1567741	Lobstein's Disease	Alport Syndrome	5402	2387	11	1	1
C0038015	C1567742	Spondyloepiphyseal Dysplasia	"Alport Syndrome, X-Linked"	29077	2064	11	1	1
C0339527	C1859844	Leber Congenital Amaurosis	"LEBER CONGENITAL AMAUROSIS, TYPE II"	931	11	11	0	2
C0006845	C3279990	"Candidiasis, Chronic Mucocutaneous"	"CANDIDIASIS, FAMILIAL, 7"	949	183	11	0	3
C0006142	C2973725	Malignant neoplasm of breast	Pulmonary arterial hypertension	309961	19359	11	1	1
C0007194	C0027726	Hypertrophic Cardiomyopathy	Nephrotic Syndrome	18881	21763	11	1	1
C0023976	C0221055	Long QT Syndrome	Paramyotonia Congenita	9236	6350	11	1	1
C0038015	C1567744	Spondyloepiphyseal Dysplasia	"Alport Syndrome, Autosomal Recessive"	29077	2094	11	1	1
C0019569	C0080024	Hirschsprung Disease	Piebaldism	4704	334	11	1	3
C1833373	C1833672	"Inclusion Body Myopathy, Autosomal Recessive"	Inclusion body myopathy	11	2485	11	0	2
C0015306	C1851413	Hereditary Multiple Exostoses	"EXOSTOSES, MULTIPLE, TYPE II"	1419	20	11	0	2
C1865295	C3553404	Auriculo-condylar syndrome	AURICULOCONDYLAR SYNDROME 2	33	14	11	1	2
C0152200	C0302129	Achromatopsia	Achromatopsia 1	4390	11	11	0	1
C0684324	C1970848	Deficiency of phosphoglycerate kinase	Phosphoglycerate Kinase 1 Deficiency	283	11	11	0	1
C1858517	C4016671	SPINAL MUSCULAR ATROPHY WITH RESPIRATORY DISTRESS 1	"DISTAL SPINAL MUSCULAR ATROPHY, AUTOSOMAL RECESSIVE, 1"	26	466	11	0	2
C0014527	C0038015	Epidermolysis Bullosa	Spondyloepiphyseal Dysplasia	5786	29077	11	1	1
C0268412	C1840322	Infantile hypophosphatasia	ODONTOHYPOPHOSPHATASIA	155	28	11	0	1
C0079504	C1842362	Hermanski-Pudlak Syndrome	HERMANSKY-PUDLAK SYNDROME 2	340	11	11	0	3
C0265253	C0265279	Stickler syndrome	Kniest dysplasia	344	78	11	1	2
C1868684	C3151120	"EAR, PATELLA, SHORT STATURE SYNDROME"	MEIER-GORLIN SYNDROME 4	44	11	11	1	2
C0080024	C0085758	Piebaldism	"Aganglionosis, Colonic"	334	4776	11	1	3
C0014527	C0029434	Epidermolysis Bullosa	Osteogenesis Imperfecta	5786	5398	11	1	3
C0017923	C4017113	Glycogen Storage Disease Type IV	"GLYCOGEN STORAGE DISEASE IV, CONGENITAL NEUROMUSCULAR"	289	11	11	0	2
C0699743	C3836730	Congenital muscular dystrophy	muscular dystrophy - dystroglycanopathy - congenital with intellectual disabilities	3138	11	11	0	2
C0020459	C0242383	Hyperinsulinism	Age related macular degeneration	81647	29421	11	1	1
C0268306	C2931132	Unconjugated hyperbilirubinemia	"Crigler Najjar syndrome, type 2"	1081	21	11	1	2
C0027819	C1336839	Neuroblastoma	Type 1 Papillary Renal Cell Carcinoma	39783	2737	11	1	1
C1275081	C3150970	Cardio-facio-cutaneous syndrome	NOONAN SYNDROME 7	248	258	11	0	1
C0406709	C1785148	Hay-Wells syndrome	RAPP-HODGKIN SYNDROME	66	54	11	0	1
C0001193	C0795998	Apert syndrome	JACKSON-WEISS SYNDROME	1769	20	11	0	1
C0398762	C1839454	Properdin deficiency disease	"PROPERDIN DEFICIENCY, X-LINKED"	143	18	11	0	3
C1859722	C3150672	Arthrogryposis renal dysfunction cholestasis syndrome	"ARTHROGRYPOSIS, RENAL DYSFUNCTION, AND CHOLESTASIS 2"	42	30	11	0	2
C0282193	C1853733	Iron Overload	"HEMOCHROMATOSIS, TYPE 4"	17943	11	11	1	2
C1834154	C1834156	"HYPERTENSION, PREGNANCY-INDUCED, SUSCEPTIBILITY TO"	"ISCHEMIC HEART DISEASE, SUSCEPTIBILITY TO"	771	7094	11	0	1
C0162429	C1291611	Malnutrition	Deficiency of glucose-6-phosphate isomerase	138291	203	11	1	2
C0038644	C0751122	Sudden infant death syndrome	Infantile Severe Myoclonic Epilepsy	11589	4923	11	1	1
C0339573	C2751294	"Glaucoma, Primary Open Angle"	"GLAUCOMA 1, OPEN ANGLE, O"	16652	11	11	0	2
C0043346	C2752147	Xeroderma Pigmentosum	"XERODERMA PIGMENTOSUM, COMPLEMENTATION GROUP C"	6100	11	11	0	2
C0677886	C4016282	Epithelial ovarian cancer	"BREAST CANCER, SOMATIC"	9462	2539	11	0	3
C0007795	C0162674	Diffuse Cerebral Sclerosis of Schilder	Chronic progressive external ophthalmoplegia	2335	1371	11	1	3
C0031269	C2674950	Peutz-Jeghers Syndrome	"LUNG CANCER, SUSCEPTIBILITY TO"	2377	5827	11	1	1
C0026850	C0349788	Muscular Dystrophy	Arrhythmogenic Right Ventricular Dysplasia	33784	2509	11	1	1
C0027707	C0270612	"Nephritis, Interstitial"	Leukoencephalopathies	22264	29481	11	1	1
C0393584	C1970269	Benign Hereditary Chorea	"Choreoathetosis, Hypothyroidism, And Neonatal Respiratory Distress"	16885	11	11	1	2
C0038015	C3278138	Spondyloepiphyseal Dysplasia	FIBROCHONDROGENESIS 1	29077	24	11	1	2
C0007193	C2931401	"Cardiomyopathy, Dilated"	Long QT syndrome type 3	21868	112	11	1	2
C0029434	C3279564	Osteogenesis Imperfecta	"Osteogenesis Imperfecta, Type VI"	5398	11	11	0	2
C0265265	C1260899	Aase syndrome	"Anemia, Diamond-Blackfan"	17	870	11	0	1
C0024796	C3541518	Marfan Syndrome	"ECTOPIA LENTIS 1, ISOLATED, AUTOSOMAL DOMINANT"	7116	13	11	0	1
C0021655	C0936016	Insulin Resistance	Testicular Feminization	113459	2842	11	1	1
C0265264	C1866994	Holt-Oram syndrome	Ulnar-mammary syndrome	424	77	11	1	2
C0033847	C0854723	Pseudoxanthoma Elasticum	Retinal Dystrophies	1837	9449	11	1	1
C0004238	C2931401	Atrial Fibrillation	Long QT syndrome type 3	72805	112	11	1	2
C0265253	C1846845	Stickler syndrome	Early onset osteoarthritis	344	698	11	1	2
C0007193	C2678065	"Cardiomyopathy, Dilated"	Myofibrillar Myopathy	21868	211	11	1	2
C0037772	C3539495	Spastic Paraplegia	"SPASTIC PARAPLEGIA 54, AUTOSOMAL RECESSIVE"	21054	11	11	0	2
C0020074	C0027051	HSAN Type IV	Myocardial Infarction	2026	234627	11	1	1
C0086543	C0376358	Cataract	Malignant neoplasm of prostate	68182	120279	11	1	1
C0009402	C1851150	Colorectal Carcinoma	"MULTIPLE MYELOMA, SOMATIC"	201452	354	11	1	2
C1300257	C2674173	"Thanatophoric dysplasia, type 2"	"Achondroplasia, Severe, With Developmental Delay And Acanthosis Nigricans"	11	2697	11	1	2
C0000889	C0346300	Acanthosis Nigricans	Pituitary carcinoma	2320	35065	11	1	1
C0007193	C1837066	"Cardiomyopathy, Dilated"	Recurrent viral infection	21868	11153	11	1	1
C0014527	C0023931	Epidermolysis Bullosa	Lobstein's Disease	5786	5402	11	1	1
C0029422	C1300257	Osteochondrodysplasias	"Thanatophoric dysplasia, type 2"	28883	11	11	1	2
C3891145	C4311016	HEMOGLOBIN O (ARAB) PHENOTYPE	HEMOGLOBIN BUGINESE-X	11	196933	11	0	3
C1969388	C1969389	"HEPATOCELLULAR CARCINOMA, SOMATIC"	"NONSMALL CELL LUNG CANCER, SOMATIC"	491	653	11	0	1
C0029422	C3281247	Osteochondrodysplasias	BENT BONE DYSPLASIA SYNDROME	28883	34	11	1	2
C3890413	C3891682	HEMOGLOBIN I PHENOTYPE	HEMOGLOBIN SYDNEY PHENOTYPE	3633	11	11	0	2
C0340643	C4016929	Dissection of aorta	"CEREBRAL INFARCTION, SUSCEPTIBILITY TO"	24314	759	11	1	2
C0007103	C2936783	Malignant neoplasm of endometrium	"Colorectal cancer, hereditary nonpolyposis, type 1"	12195	328	11	1	2
C0024305	C0031269	"Lymphoma, Non-Hodgkin"	Peutz-Jeghers Syndrome	104075	2377	11	1	3
C0004509	C1563720	Azoospermia	Kallmann Syndrome 2	6203	855	11	1	2
C0238358	C0270862	Hypokalemic periodic paralysis	Hemiplegic migraine	1022	999	11	1	2
C0079744	C0836924	Diffuse Large B-Cell Lymphoma	Thrombocytosis	24275	7671	11	1	3
C0241908	C1567743	"Hematuria, Benign Familial"	"Alport Syndrome, Autosomal Dominant"	26	2106	11	0	1
C0231303	C1970269	Distress	"Choreoathetosis, Hypothyroidism, And Neonatal Respiratory Distress"	115418	11	11	0	3
C0854723	C1867450	Retinal Dystrophies	"Pseudoxanthoma Elasticum, Incomplete"	9449	1837	11	1	1
C0001080	C1300257	Achondroplasia	"Thanatophoric dysplasia, type 2"	2697	11	11	0	1
C1708349	C4016426	Hereditary Diffuse Gastric Cancer	"ENDOMETRIAL CARCINOMA, SOMATIC"	103320	407	11	0	1
C0000889	C0010054	Acanthosis Nigricans	Coronary Arteriosclerosis	2320	165082	11	1	1
C0007959	C1843225	Charcot-Marie-Tooth Disease	"CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2E"	4570	11	11	0	2
C0025269	C1833930	Multiple Endocrine Neoplasia Type 2b	"PHEOCHROMOCYTOMA, SOMATIC"	813	236	11	1	2
C0432242	C4012146	Desbuquois syndrome	DESBUQUOIS DYSPLASIA 1	28	28	11	0	1
C0039743	C1300257	Thanatophoric Dysplasia	"Thanatophoric dysplasia, type 2"	502	11	11	0	2
C0158646	C3267076	Cleft palate with cleft lip	Familial scaphocephaly syndrome	15183	289	11	1	2
C0002888	C0035334	"Anemia, Megaloblastic"	Retinitis Pigmentosa	8271	10816	11	1	1
C1837156	C3151055	"DEBRISOQUINE, POOR METABOLISM OF"	"ADRENAL INSUFFICIENCY, CONGENITAL, WITH 46,XY SEX REVERSAL, PARTIAL OR COMPLETE"	560	600000	11	1	2
C0268120	C0268121	Adenine phosphoribosyltransferase deficiency	"APRT deficiency, Japanese type"	113	20	11	0	1
C0270685	C1867983	Cerebral calcification	"PORENCEPHALY, FAMILIAL"	5796	544	11	1	2
C0268743	C3150275	"Membranoproliferative Glomerulonephritis, Type II"	COMPLEMENT COMPONENT 2 DEFICIENCY	3840	603	11	1	2
C0029422	C1969057	Osteochondrodysplasias	Noonan Syndrome 5	28883	414	11	1	2
C0007102	C0030567	Malignant tumor of colon	Parkinson Disease	85229	73702	11	1	3
C0017662	C3150275	"Glomerulonephritis, Membranoproliferative"	COMPLEMENT COMPONENT 2 DEFICIENCY	3840	603	11	1	2
C0020479	C4017421	Hyperlipoproteinemia Type III	"HYPERLIPOPROTEINEMIA, TYPE III, AUTOSOMAL RECESSIVE"	1143	11	11	0	2
C3489529	C3714873	"Tooth Agenesis, Familial"	"Axenfeld-Rieger Syndrome, Type 1"	3678	211	11	1	2
C2674950	C3553943	"LUNG CANCER, SUSCEPTIBILITY TO"	"T-CELL IMMUNODEFICIENCY, RECURRENT INFECTIONS, AND AUTOIMMUNITY WITH OR WITHOUT CARDIAC MALFORMATIONS"	5827	168719	11	1	1
C0004509	C0162809	Azoospermia	Kallmann Syndrome	6203	855	11	1	3
C0020074	C0265950	HSAN Type IV	Venous malformation	2026	32747	11	1	1
C0079744	C0238198	Diffuse Large B-Cell Lymphoma	Gastrointestinal Stromal Tumors	24275	8324	11	1	1
C0038015	C1567743	Spondyloepiphyseal Dysplasia	"Alport Syndrome, Autosomal Dominant"	29077	2106	11	1	1
C0270851	C3149075	Benign neonatal epilepsy	"SEIZURES, BENIGN FAMILIAL NEONATAL, 1, AND/OR MYOKYMIA"	570	641	11	0	2
C0013336	C0271582	Dwarfism	Isolated lutropin deficiency	17277	218	11	1	3
C0005411	C0029456	Biliary Atresia	Osteoporosis	4757	81415	11	1	1
C0342384	C4016875	Idiopathic hypogonadotropic hypogonadism	HYPOGONADOTROPIC HYPOGONADISM 8 WITHOUT ANOSMIA	337	74	11	0	2
C0026760	C3278138	Multiple Epiphyseal Dysplasia	FIBROCHONDROGENESIS 1	29049	24	11	1	2
C0024623	C4016426	Malignant neoplasm of stomach	"ENDOMETRIAL CARCINOMA, SOMATIC"	103330	407	11	1	2
C0007196	C1860752	Restrictive cardiomyopathy	"CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 7"	1984	232	11	0	3
C1384666	C2931206	hearing impairment	"Usher syndrome, type 1B"	87778	11	11	1	2
C0268287	C4289986	Deficiency of steroid 21-monooxygenase	Aldosterone Synthase Deficiency	1429	200	11	1	2
C0011195	C4016103	Dejerine-Sottas Disease	"HYPOGONADOTROPIC HYPOGONADISM 2 WITH OR WITHOUT ANOSMIA, SUSCEPTIBILITY TO"	6822	5965	11	1	1
C0020676	C0034089	Hypothyroidism	Pulmonary Valve Stenosis	42860	13326	11	1	1
C0029422	C0036341	Osteochondrodysplasias	Schizophrenia	28883	134381	11	1	1
C0268528	C3267013	Hyperprolinemia	Enzyme activity increased	146	209248	11	1	2
C0027726	C0863094	Nephrotic Syndrome	Recurrent respiratory tract infections	21763	7866	11	1	1
C0001080	C0158646	Achondroplasia	Cleft palate with cleft lip	2697	15183	11	1	3
C0001768	C0007102	Agammaglobulinemia	Malignant tumor of colon	7575	85229	11	1	1
C0003486	C1321551	Aortic Aneurysm	Shprintzen-Goldberg syndrome	60865	59	11	1	2
C0026769	C3203102	Multiple Sclerosis	Idiopathic pulmonary arterial hypertension	80883	3570	11	1	1
C0017668	C4017284	Focal glomerulosclerosis	BLOOD GROUP--LUTHERAN NULL	7182	18234	11	1	1
C0020678	C0035334	Hypotrichosis	Retinitis Pigmentosa	13599	10816	11	1	1
C0002395	C0003857	Alzheimer's Disease	Congenital arteriovenous malformation	139725	32378	11	1	1
C0040015	C2751260	Thrombasthenia	Macrothrombocytopenia	1435	388	11	1	2
C0026760	C1567742	Multiple Epiphyseal Dysplasia	"Alport Syndrome, X-Linked"	29049	2064	11	1	1
C0011053	C2940786	Deafness	Thyroid Hormone Resistance Syndrome	39032	831	11	1	2
C0021364	C0027819	Male infertility	Neuroblastoma	45629	39783	11	1	1
C0037772	C0242383	Spastic Paraplegia	Age related macular degeneration	21054	29421	11	1	1
C2749604	C2752038	"HEMOLYTIC UREMIC SYNDROME, ATYPICAL, SUSCEPTIBILITY TO, 1"	"HEMOLYTIC UREMIC SYNDROME, ATYPICAL, SUSCEPTIBILITY TO, 4"	43	22	11	0	2
C1275808	C3714756	Congenital central hypoventilation	Intellectual Disability	581	97825	11	1	2
C0242379	C1846862	Malignant neoplasm of lung	PARKINSON DISEASE 8	261819	10370	11	1	1
C0042974	C1384666	von Willebrand Disease	hearing impairment	11553	87778	11	1	1
C0003873	C1136249	Rheumatoid Arthritis	"Mental Retardation, X-Linked"	140008	14636	11	1	1
C0006142	C1833929	Malignant neoplasm of breast	"THYROID CARCINOMA, SPORADIC MEDULLARY"	309961	948	11	1	2
C0006142	C1860896	Malignant neoplasm of breast	"COLORECTAL CANCER, HEREDITARY NONPOLYPOSIS, TYPE 6"	309961	144	11	1	2
C0028326	C4016103	Noonan Syndrome	"HYPOGONADOTROPIC HYPOGONADISM 2 WITH OR WITHOUT ANOSMIA, SUSCEPTIBILITY TO"	2113	5965	11	1	1
C0085110	C0549473	Severe Combined Immunodeficiency	Thyroid carcinoma	7990	68555	11	1	1
C0220658	C0848558	Pfeiffer Syndrome	Hypospadias	2199	6633	11	1	1
C0015526	C0272317	Factor XII Deficiency	Hereditary factor II deficiency disease	871	80	11	0	1
C0018553	C0034013	"Hamartoma Syndrome, Multiple"	Precocious Puberty	1768	5742	11	1	1
C0013336	C1970269	Dwarfism	"Choreoathetosis, Hypothyroidism, And Neonatal Respiratory Distress"	17277	11	11	1	2
C0452138	C3711374	"Sensorineural hearing loss, bilateral"	Nonsyndromic Deafness	3426	364	11	1	2
C0020676	C1970269	Hypothyroidism	"Choreoathetosis, Hypothyroidism, And Neonatal Respiratory Distress"	42860	11	11	0	3
C0038015	C0265343	Spondyloepiphyseal Dysplasia	Jarcho-Levin syndrome	29077	140	11	1	2
C0037769	C0079541	West Syndrome	Holoprosencephaly	16172	2050	11	1	1
C0010054	C0039445	Coronary Arteriosclerosis	Hereditary hemorrhagic telangiectasia	165082	3641	11	1	3
C0011847	C0342384	Diabetes	Idiopathic hypogonadotropic hypogonadism	600000	337	11	1	2
C0014527	C0026760	Epidermolysis Bullosa	Multiple Epiphyseal Dysplasia	5786	29049	11	1	3
C0007115	C0036341	Malignant neoplasm of thyroid	Schizophrenia	67377	134381	11	1	1
C0085580	C0376358	Essential Hypertension	Malignant neoplasm of prostate	31557	120279	11	1	1
C0026769	C0272199	Multiple Sclerosis	Familial Hemophagocytic Lymphocytosis	80883	3231	11	1	1
C0028754	C0031106	Obesity	"Periodontitis, Juvenile"	294455	3346	11	1	3
C0026760	C1567744	Multiple Epiphyseal Dysplasia	"Alport Syndrome, Autosomal Recessive"	29049	2094	11	1	1
C0018784	C0018817	Sensorineural Hearing Loss	Atrial Septal Defects	29379	17477	11	0	1
C0010674	C0238378	Cystic Fibrosis	Desquamative interstitial pneumonia	49380	450	11	1	2
C0024796	C4016053	Marfan Syndrome	"MARFAN SYNDROME, MILD VARIABLE"	7116	11	11	0	1
