CUI1	CUI2	Disease1	Disease2	PubMed1	PubMed2	Common_PubMed_IDs	Level_of_similarity	Level_of_confidence	Name Relations	Paper Relations	Context Type	Concept Relations Type	Pct Common Relations	Num Available	Concept Relation	ID Relation	Num Relations
C0376358	C2674950	Malignant neoplasm of prostate	"LUNG CANCER, SUSCEPTIBILITY TO"	120279	5827	116											
C0019202	C0030567	Hepatolenticular Degeneration	Parkinson Disease	5625	73702	116											
C0266484	C1855775	Schizencephaly	Bilateral schizencephaly	443	116	116											
C0000768	C0341862	Congenital Abnormality	Hypothalamic amenorrhea	591498	2122	116											
C0752166	C1859569	Bardet-Biedl Syndrome	BARDET-BIEDL SYNDROME 11	1122	116	116											
C0026760	C1847593	Multiple Epiphyseal Dysplasia	"EPIPHYSEAL DYSPLASIA, MULTIPLE, 4"	29049	116	116											
C0011860	C0857439	"Diabetes Mellitus, Non-Insulin-Dependent"	Pituitary hormone deficiency	142114	18247	116											
C0024623	C0029463	Malignant neoplasm of stomach	Osteosarcoma	103330	33353	116											
C0006142	C0010674	Malignant neoplasm of breast	Cystic Fibrosis	309961	49380	116											
C0026709	C4017253	Mucopolysaccharidosis VI	"MUCOPOLYSACCHARIDOSIS, TYPE VI, SEVERE"	681	115	115											
C0234166	C3553291	Hyperexplexia	HYPEREKPLEXIA 2	384	115	115											
C0175697	C1847604	Van der Woude syndrome	Van der Woude syndrome 2	312	115	115											
C0339573	C3278153	"Glaucoma, Primary Open Angle"	"GLAUCOMA, PRIMARY OPEN ANGLE, JUVENILE-ONSET"	16652	115	115											
C0241889	C0398625	Family history	Protein C Deficiency	117019	1973	114											
C0018553	C0031269	"Hamartoma Syndrome, Multiple"	Peutz-Jeghers Syndrome	1768	2377	114											
C0268301	C0848558	Reifenstein Syndrome	Hypospadias	2462	6633	114											
C0238198	C4016293	Gastrointestinal Stromal Tumors	"GASTROINTESTINAL STROMAL TUMOR, SOMATIC"	8324	126	114											
C1836635	C3553943	Loeys-Dietz Aortic Aneurysm Syndrome	"T-CELL IMMUNODEFICIENCY, RECURRENT INFECTIONS, AND AUTOIMMUNITY WITH OR WITHOUT CARDIAC MALFORMATIONS"	436	168719	114											
C0019569	C0549473	Hirschsprung Disease	Thyroid carcinoma	4704	68555	114											
C0011860	C0549473	"Diabetes Mellitus, Non-Insulin-Dependent"	Thyroid carcinoma	142114	68555	114											
C0024141	C1328840	"Lupus Erythematosus, Systemic"	Autoimmune Lymphoproliferative Syndrome	68503	942	114											
C0020302	C1533041	Hydrophthalmos	Primary congenital glaucoma	592	852	113											
C3552343	C4017053	HYPOGONADOTROPIC HYPOGONADISM 4 WITH OR WITHOUT ANOSMIA	HYPOGONADOTROPIC HYPOGONADISM 4 WITH ANOSMIA	9361	113	113											
C0019569	C1275808	Hirschsprung Disease	Congenital central hypoventilation	4704	581	113											
C0005586	C1561643	Bipolar Disorder	Chronic Kidney Diseases	48102	133158	113											
C0001768	C0162429	Agammaglobulinemia	Malnutrition	7575	138291	113											
C0023976	C2931401	Long QT Syndrome	Long QT syndrome type 3	9236	112	112											
C0020630	C0220743	Hypophosphatasia	Childhood hypophosphatasia	1057	112	112											
C0162309	C0282527	Adrenoleukodystrophy	Infantile Refsum Disease	2255	185	112											
C1836635	C2697933	Loeys-Dietz Aortic Aneurysm Syndrome	Loeys-Dietz Syndrome Type 1	436	117	112											
C0006142	C1858439	Malignant neoplasm of breast	"CANCER OF MULTIPLE TYPES, SUSCEPTIBILITY TO"	309961	607	112											
C0006142	C3714756	Malignant neoplasm of breast	Intellectual Disability	309961	97825	112											
C0234166	C4084968	Hyperexplexia	Hereditary Hyperekplexia	384	879	111											
C0751753	C4082171	Carbamoyl-Phosphate Synthase I Deficiency Disease	Hyperammonemia Due to Carbamoyl Phosphate Synthetase 1 Deficiency	111	111	111											
C3552574	C4016669	HYPOGONADOTROPIC HYPOGONADISM 6 WITH OR WITHOUT ANOSMIA	HYPOGONADOTROPIC HYPOGONADISM 6 WITHOUT ANOSMIA	8981	111	111											
C0023241	C1837872	Legionnaires' Disease	"LEGIONNAIRE DISEASE, SUSCEPTIBILITY TO"	5160	111	111											
C0007959	C4016265	Charcot-Marie-Tooth Disease	"DEJERINE-SOTTAS SYNDROME, SPORADIC"	4570	212	111											
C0000768	C4016104	Congenital Abnormality	HYPOGONADOTROPIC HYPOGONADISM 2 WITH ANOSMIA	591498	171	111											
C0000768	C4016106	Congenital Abnormality	HYPOGONADOTROPIC HYPOGONADISM 2 WITHOUT ANOSMIA	591498	171	111											
C3552574	C4016670	HYPOGONADOTROPIC HYPOGONADISM 6 WITH OR WITHOUT ANOSMIA	HYPOGONADOTROPIC HYPOGONADISM 6 WITH ANOSMIA	8981	111	111											
C0339278	C1275685	Reis-Bucklers' corneal dystrophy	Avellino corneal dystrophy	4409	111	111											
C0270912	C4016265	"Charcot-Marie-Tooth Disease, Type Ib"	"DEJERINE-SOTTAS SYNDROME, SPORADIC"	4570	212	111											
C2239176	C2674950	Liver carcinoma	"LUNG CANCER, SUSCEPTIBILITY TO"	130028	5827	111											
C0036341	C0346429	Schizophrenia	Multiple malignancy	134381	215327	111											
C0035334	C0948896	Retinitis Pigmentosa	Primary hypogonadism	10816	17394	111											
C0035334	C3489396	Retinitis Pigmentosa	"Hypogonadism, Isolated Hypogonadotropic"	10816	17394	111											
C0007194	C0085580	Hypertrophic Cardiomyopathy	Essential Hypertension	18881	31557	111											
C0015503	C0015526	Factor VII Deficiency	Factor XII Deficiency	1829	871	110											
C0001403	C0162309	Addison Disease	Adrenoleukodystrophy	5088	2255	110											
C0037772	C1839264	Spastic Paraplegia	"SPASTIC PARAPLEGIA 2, X-LINKED"	21054	110	110											
C0038644	C1142166	Sudden infant death syndrome	Brugada Syndrome	11589	4775	110											
C0010273	C0086543	Craniofacial Dysostosis	Cataract	5697	68182	110											
C0393484	C1096063	Rasmussen Syndrome	Drug Resistant Epilepsy	63615	4695	110											
C0007785	C0021655	Cerebral Infarction	Insulin Resistance	46898	113459	110											
C0039445	C0150312	Hereditary hemorrhagic telangiectasia	Present	3641	600000	110											
C0403445	C1384666	Fechtner syndrome	hearing impairment	154	87778	110											
C0340978	C1384666	May-Hegglin anomaly	hearing impairment	281	87778	110											
C0391957	C1096063	idiopathic epilepsy	Drug Resistant Epilepsy	3746	4695	110											
C0751336	C0917713	Distal Muscular Dystrophies	Becker Muscular Dystrophy	1008	11109	110											
C0024796	C0220668	Marfan Syndrome	Congenital contractural arachnodactyly	7116	136	109											
C0686353	C2936332	"Muscular Dystrophies, Limb-Girdle"	Alpha-Sarcoglycanopathies	1891	145	109											
C0007134	C0238462	Renal Cell Carcinoma	Medullary carcinoma of thyroid	47304	7190	109											
C0393770	C3279991	Delayed Sleep Phase Syndrome	"DELAYED SLEEP PHASE SYNDROME, SUSCEPTIBILITY TO"	6474	109	109											
C0039585	C0848558	Androgen-Insensitivity Syndrome	Hypospadias	2447	6633	109											
C1260899	C2750081	"Anemia, Diamond-Blackfan"	Diamond-Blackfan Anemia 9	870	109	109											
C0021655	C0549473	Insulin Resistance	Thyroid carcinoma	113459	68555	109											
C0010674	C0011860	Cystic Fibrosis	"Diabetes Mellitus, Non-Insulin-Dependent"	49380	142114	109											
C0917713	C4016477	Becker Muscular Dystrophy	INTERMEDIATE MUSCULAR DYSTROPHY	11109	393	108											
C0242343	C2678408	Panhypopituitarism	"PITUITARY HORMONE DEFICIENCY, COMBINED, 4"	1599	462	108											
C0398641	C1384666	Epstein syndrome	hearing impairment	145	87778	108											
C0206686	C1261473	Adrenocortical carcinoma	Sarcoma	3369	167461	108											
C0346429	C1835398	Multiple malignancy	LI-FRAUMENI SYNDROME 1	215327	454	108											
C0270862	C1720189	Hemiplegic migraine	Episodic Ataxia	999	502	108											
C0029422	C0346300	Osteochondrodysplasias	Pituitary carcinoma	28883	35065	108											
C0242379	C1274233	Malignant neoplasm of lung	T-lymphocyte immunodeficiency	261819	34915	108											
C0238395	C1846223	Male Pseudohermaphroditism	Adrenal hypoplasia	4886	6817	108											
C0010674	C0035309	Cystic Fibrosis	Retinal Diseases	49380	134253	108											
C0001768	C0018203	Agammaglobulinemia	Chronic granulomatous disease	7575	7233	108											
C0086647	C0086651	Mucopolysaccharidosis Type IIIA	"Mucopolysaccharidosis, MPS-IV-A"	889	1260	107											
C0043459	C1832200	Zellweger Syndrome	Peroxisome biogenesis disorders	1068	219	107											
C0013264	C0751336	"Muscular Dystrophy, Duchenne"	Distal Muscular Dystrophies	10808	1008	107											
C0007194	C3151264	Hypertrophic Cardiomyopathy	"CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 17"	18881	107	107											
C0026707	C0086647	Mucopolysaccharidosis IV	Mucopolysaccharidosis Type IIIA	1260	889	107											
C0005684	C0027819	Malignant neoplasm of urinary bladder	Neuroblastoma	59248	39783	106											
C0026267	C0241889	Mitral Valve Prolapse Syndrome	Family history	6833	117019	106											
C0009402	C4013949	Colorectal Carcinoma	IMMUNODEFICIENCY 30	201452	23466	106											
C0006142	C0034013	Malignant neoplasm of breast	Precocious Puberty	309961	5742	106											
C0268312	C0566602	Progressive intrahepatic cholestasis	Primary sclerosing cholangitis	1170	6404	106											
C0007193	C0574083	"Cardiomyopathy, Dilated"	3-Methylglutaconic aciduria type 2	21868	656	106											
C0025202	C0085110	melanoma	Severe Combined Immunodeficiency	122636	7990	106											
C0241889	C0242666	Family history	Protein S Deficiency	117019	1682	105											
C0268124	C1863239	Adenosine deaminase deficiency	Partial adenosine deaminase deficiency	495	105	105											
C0079744	C0376358	Diffuse Large B-Cell Lymphoma	Malignant neoplasm of prostate	24275	120279	105											
C0007134	C1168401	Renal Cell Carcinoma	Squamous cell carcinoma of the head and neck	47304	7214	105											
C0010273	C0085584	Craniofacial Dysostosis	Encephalopathies	5697	600000	105											
C0002395	C0004352	Alzheimer's Disease	Autistic Disorder	139725	21522	105											
C0028064	C0268243	Niemann-Pick Diseases	"Niemann-Pick Disease, Type B"	2766	111	104											
C0019569	C3888239	Hirschsprung Disease	"HIRSCHSPRUNG DISEASE, SUSCEPTIBILITY TO, 1"	4704	104	104											
C0019569	C1838564	Hirschsprung Disease	"HIRSCHSPRUNG DISEASE, SUSCEPTIBILITY TO, 2"	4704	104	104											
C0085758	C3888239	"Aganglionosis, Colonic"	"HIRSCHSPRUNG DISEASE, SUSCEPTIBILITY TO, 1"	4776	104	104											
C0007134	C0023467	Renal Cell Carcinoma	"Leukemia, Myelocytic, Acute"	47304	73162	104											
C0010273	C0848558	Craniofacial Dysostosis	Hypospadias	5697	6633	104											
C0043346	C1955934	Xeroderma Pigmentosum	Trichothiodystrophy Syndromes	6100	171	104											
C1858438	C2239176	"COLORECTAL CANCER, SUSCEPTIBILITY TO"	Liver carcinoma	6432	130028	104											
C1969057	C3150970	Noonan Syndrome 5	NOONAN SYNDROME 7	414	258	104											
C0043346	C3495483	Xeroderma Pigmentosum	Amish Brittle Hair Brain Syndrome	6100	171	104											
C0004245	C1142166	Atrioventricular Block	Brugada Syndrome	12755	4775	104											
C0020443	C1837173	Hypercholesterolemia	"CORONARY HEART DISEASE, SUSCEPTIBILITY TO, 5"	42411	2024	104											
C0011860	C0024623	"Diabetes Mellitus, Non-Insulin-Dependent"	Malignant neoplasm of stomach	142114	103330	104											
C0024591	C2930980	Malignant hyperpyrexia due to anesthesia	Malignant hyperthermia susceptibility type 1	6029	103	103											
C0751604	C1839264	Hereditary X-Linked Recessive Spastic Paraplegia	"SPASTIC PARAPLEGIA 2, X-LINKED"	1755	110	103											
C3151403	C3152097	AMYOTROPHIC LATERAL SCLEROSIS 14 WITH OR WITHOUT FRONTOTEMPORAL DEMENTIA	AMYOTROPHIC LATERAL SCLEROSIS 14 WITHOUT FRONTOTEMPORAL DEMENTIA	8886	103	103											
C0010278	C0265950	Craniosynostosis	Venous malformation	6837	32747	103											
C0017668	C3151568	Focal glomerulosclerosis	"NEPHROTIC SYNDROME, TYPE 4"	7182	635	103											
C0003850	C0751587	Arteriosclerosis	CADASIL Syndrome	168968	1227	103											
C0079541	C0206762	Holoprosencephaly	"Limb Deformities, Congenital"	2050	23025	103											
C0002736	C3152097	Amyotrophic Lateral Sclerosis	AMYOTROPHIC LATERAL SCLEROSIS 14 WITHOUT FRONTOTEMPORAL DEMENTIA	24280	103	103											
C0024796	C4016057	Marfan Syndrome	"MARFAN SYNDROME, CLASSIC"	7116	103	103											
C0005684	C0011860	Malignant neoplasm of urinary bladder	"Diabetes Mellitus, Non-Insulin-Dependent"	59248	142114	103											
C0079541	C3714756	Holoprosencephaly	Intellectual Disability	2050	97825	103											
C0234166	C3553288	Hyperexplexia	HYPEREKPLEXIA 3	384	102	102											
C1856113	C3714756	Mowat-Wilson syndrome	Intellectual Disability	137	97825	102											
C0019621	C0023467	"Histiocytosis, Langerhans-Cell"	"Leukemia, Myelocytic, Acute"	10815	73162	102											
C0339541	C1849394	Goldmann-Favre syndrome	Enhanced S-Cone Syndrome	121	102	102											
C0025362	C3281202	Mental Retardation	"MENTAL RETARDATION, AUTOSOMAL DOMINANT 13"	112283	102	102											
C0079541	C1856273	Holoprosencephaly	"46,XY Gonadal Dysgenesis, Complete or Partial, DHH-Related"	2050	420591	102											
C0241889	C0751587	Family history	CADASIL Syndrome	117019	1227	101											
C0026709	C0086647	Mucopolysaccharidosis VI	Mucopolysaccharidosis Type IIIA	681	889	101											
C0013264	C4016477	"Muscular Dystrophy, Duchenne"	INTERMEDIATE MUSCULAR DYSTROPHY	10808	393	101											
C0158981	C3888018	Neonatal diabetes mellitus	Congenital Hyperinsulinism	12461	951	101											
C0021655	C0271695	Insulin Resistance	Rabson-Mendenhall Syndrome	113459	214	101											
C0158981	C2931832	Neonatal diabetes mellitus	"Hyperinsulinemic hypoglycemia, familial, 1"	12461	951	101											
C0020502	C1840402	Hyperparathyroidism	HYPERPARATHYROIDISM 1	29839	101	101											
C0271980	C3890413	beta^0^ Thalassemia	HEMOGLOBIN I PHENOTYPE	529	3633	101											
C0271980	C4017462	beta^0^ Thalassemia	HEMOGLOBIN STANLEYVILLE-I PHENOTYPE	529	3633	101											
C0027819	C0079744	Neuroblastoma	Diffuse Large B-Cell Lymphoma	39783	24275	101											
C0014859	C3469522	Esophageal Neoplasms	"BREAST CANCER, SUSCEPTIBILITY TO"	53754	12696	101											
C0009402	C2674314	Colorectal Carcinoma	"ENDOMETRIAL CANCER, SOMATIC"	201452	453	101											
C0158981	C2931833	Neonatal diabetes mellitus	"Hyperinsulinemic hypoglycemia, familial, 2"	12461	951	101											
C3841475	C3889325	beta^+^ Thalassemia	HEMOGLOBIN E PHENOTYPE	14284	135	100											
C0005283	C3889325	beta Thalassemia	HEMOGLOBIN E PHENOTYPE	14284	135	100											
C0031511	C1833921	Pheochromocytoma	Familial medullary thyroid carcinoma	21435	398	100											
C0010054	C1142166	Coronary Arteriosclerosis	Brugada Syndrome	165082	4775	100											
C0004352	C0162635	Autistic Disorder	Angelman Syndrome	21522	1709	100											
C0039445	C2973725	Hereditary hemorrhagic telangiectasia	Pulmonary arterial hypertension	3641	19359	99											
C0406735	C4083050	Hypoplastic enamel-onycholysis-hypohidrosis syndrome	Tooth agenesis	5715	12777	99											
C0162872	C0241889	"Aortic Aneurysm, Thoracic"	Family history	19227	117019	99											
C1851920	C1868675	Dopa-Responsive Dystonia	"PARKINSON DISEASE 2, AUTOSOMAL RECESSIVE JUVENILE"	488	73527	99											
C0268124	C0392607	Adenosine deaminase deficiency	Severe combined immunodeficiency due to adenosine deaminase deficiency	495	98	98											
C0162809	C0342384	Kallmann Syndrome	Idiopathic hypogonadotropic hypogonadism	855	337	98											
C0342384	C1563720	Idiopathic hypogonadotropic hypogonadism	Kallmann Syndrome 2	337	855	98											
C0392607	C1863239	Severe combined immunodeficiency due to adenosine deaminase deficiency	Partial adenosine deaminase deficiency	98	105	98											
C0007115	C0019569	Malignant neoplasm of thyroid	Hirschsprung Disease	67377	4704	98											
C1860985	C4016282	"GASTRIC CANCER, SOMATIC"	"BREAST CANCER, SOMATIC"	677	2539	98											
C0272375	C1997614	Antithrombin III Deficiency	Thromboembolism of vein	2016	10161	98											
C0021359	C1563720	Infertility	Kallmann Syndrome 2	89090	855	98											
C0021359	C0162809	Infertility	Kallmann Syndrome	89090	855	98											
C0023240	C1837872	Legionellosis	"LEGIONNAIRE DISEASE, SUSCEPTIBILITY TO"	5560	111	98											
C0085298	C1861863	Sudden Cardiac Death	"CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 3"	31397	482	98											
C2697932	C3898580	Loeys-Dietz Syndrome	Loeys-Dietz Syndrome Type 2	451	98	98											
C0242343	C3151440	Panhypopituitarism	"PITUITARY HORMONE DEFICIENCY, COMBINED, 6"	1599	469	98											
C1858806	C4085590	CONE-ROD DYSTROPHY 3	Cone-Rod Dystrophies	365	389	98											
C0747102	C0857439	Ovarian failure	Pituitary hormone deficiency	7254	18247	98											
C0007115	C0085758	Malignant neoplasm of thyroid	"Aganglionosis, Colonic"	67377	4776	98											
C0003811	C2931401	Cardiac Arrhythmia	Long QT syndrome type 3	218808	112	98											
C0398625	C3203356	Protein C Deficiency	Factor II deficiency	1973	6662	98											
C0024439	C1691013	Macular corneal dystrophy	Macular corneal dystrophy Type II	4246	98	98											
C0342384	C1563719	Idiopathic hypogonadotropic hypogonadism	Kallmann Syndrome 1	337	855	98											
C0008533	C0398623	Hemophilia B	Thrombophilia	4899	26979	98											
C0010674	C0566602	Cystic Fibrosis	Primary sclerosing cholangitis	49380	6404	98											
C0019569	C0025268	Hirschsprung Disease	Multiple Endocrine Neoplasia Type 2a	4704	1655	97											
C0006142	C0206686	Malignant neoplasm of breast	Adrenocortical carcinoma	309961	3369	97											
C0342185	C1863119	"Hyperthyroxinemia, Familial Dysalbuminemic"	Dysalbuminemic Hyperthyroxinemia	100	100	97											
C0587248	C4016398	Costello syndrome	"COSTELLO SYNDROME, SEVERE"	665	97	97											
C0752124	C1720189	Spinocerebellar Ataxia Type 6	Episodic Ataxia	6691	502	97											
C0009952	C0220669	Febrile Convulsions	Familial benign neonatal epilepsy	5067	570	97											
C0009952	C1843140	Febrile Convulsions	"SEIZURES, BENIGN FAMILIAL INFANTILE, 3"	5067	570	97											
C0085786	C0265965	Hamman-Rich syndrome	Dyskeratosis Congenita	42650	998	97											
C0025202	C3469523	melanoma	"OVARIAN CANCER, SUSCEPTIBILITY TO"	122636	4371	97											
C0011847	C0270912	Diabetes	"Charcot-Marie-Tooth Disease, Type Ib"	600000	4570	97											
C0017668	C0027708	Focal glomerulosclerosis	Nephroblastoma	7182	12539	97											
C0587248	C1275081	Costello syndrome	Cardio-facio-cutaneous syndrome	665	248	96											
C0259771	C1721007	Steatocystoma multiplex	"Pachyonychia Congenita, Type 2"	245	450	96											
C0259771	C1706595	Steatocystoma multiplex	"Pachyonychia Congenita, Jadassohn Lewandowsky Type"	245	450	96											
C0000768	C0265252	Congenital Abnormality	Coffin-Lowry syndrome	591498	226	96											
C2931838	C3165209	Familial HDL deficiency	High density lipoprotein deficiency	1152	119	96											
C3553943	C4016103	"T-CELL IMMUNODEFICIENCY, RECURRENT INFECTIONS, AND AUTOIMMUNITY WITH OR WITHOUT CARDIAC MALFORMATIONS"	"HYPOGONADOTROPIC HYPOGONADISM 2 WITH OR WITHOUT ANOSMIA, SUSCEPTIBILITY TO"	168719	5965	96											
C0020443	C1866080	Hypercholesterolemia	HIGH BONE MASS	42411	23483	96											
C0751161	C4017048	UDPglucose 4-epimerase deficiency disease	"GALACTOSE EPIMERASE DEFICIENCY, SEVERE"	2202	99	96											
C0259771	C0265334	Steatocystoma multiplex	Pachyonychia Congenita	245	450	96											
C0003857	C0027831	Congenital arteriovenous malformation	Neurofibromatosis 1	32378	10013	96											
C0268151	C4017048	Classical galactosemia	"GALACTOSE EPIMERASE DEFICIENCY, SEVERE"	2223	99	96											
C0034091	C0152171	Pulmonary Veno-Occlusive Disease	Idiopathic pulmonary hypertension	1070	4458	96											
C0006142	C0029422	Malignant neoplasm of breast	Osteochondrodysplasias	309961	28883	96											
C0020676	C0025202	Hypothyroidism	melanoma	42860	122636	96											
C0019569	C0238462	Hirschsprung Disease	Medullary carcinoma of thyroid	4704	7190	95											
C2749872	C4281785	"EPILEPSY, CHILDHOOD ABSENCE, SUSCEPTIBILITY TO, 6"	Childhood Absence Epilepsy	95	8098	95											
C0687120	C3151188	Nephronophthisis	NEPHRONOPHTHISIS 9	745	95	95											
C0027708	C0950122	Nephroblastoma	Frasier Syndrome	12539	156	95											
C0000768	C3888239	Congenital Abnormality	"HIRSCHSPRUNG DISEASE, SUSCEPTIBILITY TO, 1"	591498	104	95											
C3539916	C3698239	"MYOCLONUS, FAMILIAL CORTICAL"	Cerebral cortex myoclonus	186	937	95											
C0010073	C1834155	Coronary Artery Vasospasm	"HYPERTENSION, RESISTANT TO CONVENTIONAL THERAPY"	5145	292	95											
C3151406	C3553794	SPERMATOGENIC FAILURE 8	Spermatogenic failure	95	508	95											
C1275808	C4310966	Congenital central hypoventilation	"CENTRAL HYPOVENTILATION SYNDROME, CONGENITAL, WITH HIRSCHSPRUNG DISEASE"	581	95	95											
C0009402	C0085390	Colorectal Carcinoma	Li-Fraumeni Syndrome	201452	1216	95											
C0019569	C4310966	Hirschsprung Disease	"CENTRAL HYPOVENTILATION SYNDROME, CONGENITAL, WITH HIRSCHSPRUNG DISEASE"	4704	95	95											
C0085758	C0238462	"Aganglionosis, Colonic"	Medullary carcinoma of thyroid	4776	7190	95											
C1384666	C1854520	hearing impairment	SEBASTIAN SYNDROME	87778	129	95											
C0015503	C0398623	Factor VII Deficiency	Thrombophilia	1829	26979	95											
C0009402	C0149521	Colorectal Carcinoma	"Pancreatitis, Chronic"	201452	20064	95											
C0027831	C0028326	Neurofibromatosis 1	Noonan Syndrome	10013	2113	95											
C1836635	C3898580	Loeys-Dietz Aortic Aneurysm Syndrome	Loeys-Dietz Syndrome Type 2	436	98	94											
C0009402	C0345893	Colorectal Carcinoma	Juvenile polyposis syndrome	201452	217	94											
C0242339	C0376358	Dyslipidemias	Malignant neoplasm of prostate	75706	120279	94											
C0037772	C0205711	Spastic Paraplegia	Pelizaeus-Merzbacher Disease	21054	617	94											
C0085110	C0346156	Severe Combined Immunodeficiency	Benign neoplasm of breast	7990	314690	94											
C0271091	C3714753	"Retinoschisis, Juvenile, X-Linked"	"RETINOSCHISIS 1, X-LINKED, JUVENILE"	1357	93	93											
C0029454	C1866080	Osteopetrosis	HIGH BONE MASS	3269	23483	93											
C0020676	C0342196	Hypothyroidism	Thyroid Dyshormonogenesis 5	42860	98	93											
C0037772	C0751915	Spastic Paraplegia	"Pelizaeus-Merzbacher Disease, Atypical"	21054	615	93											
C0007193	C1861863	"Cardiomyopathy, Dilated"	"CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 3"	21868	482	93											
C0403440	C1567744	Thin basement membrane disease	"Alport Syndrome, Autosomal Recessive"	358	2094	92											
C0028754	C2940786	Obesity	Thyroid Hormone Resistance Syndrome	294455	831	92											
C0007117	C0035412	Basal cell carcinoma	Rhabdomyosarcoma	26562	13631	92											
C1868685	C3151055	"MULTIPLE SCLEROSIS, SUSCEPTIBILITY TO"	"ADRENAL INSUFFICIENCY, CONGENITAL, WITH 46,XY SEX REVERSAL, PARTIAL OR COMPLETE"	3820	600000	92											
C0000768	C0265344	Congenital Abnormality	Donohue Syndrome	591498	171	92											
C0001418	C0085390	Adenocarcinoma	Li-Fraumeni Syndrome	392635	1216	92											
C0023264	C0034345	Leigh Disease	Pyruvate Dehydrogenase Complex Deficiency Disease	2270	525	92											
C0023522	C0028064	"Leukodystrophy, Metachromatic"	Niemann-Pick Diseases	1544	2766	92											
C0002395	C0751587	Alzheimer's Disease	CADASIL Syndrome	139725	1227	92											
C0006142	C0085110	Malignant neoplasm of breast	Severe Combined Immunodeficiency	309961	7990	91											
C0011860	C1846223	"Diabetes Mellitus, Non-Insulin-Dependent"	Adrenal hypoplasia	142114	6817	91											
C0272375	C0398626	Antithrombin III Deficiency	Heparin cofactor II deficiency	2016	162	91											
C0751071	C4017412	Familial Dementia	'ANTITHROMBIN' PITTSBURGH PHENOTYPE	188254	3065	91											
C0017919	C0017925	Glycogen Storage Disease	Glycogen Storage Disease Type VI	6678	91	91											
C0021655	C0238033	Insulin Resistance	Carcinoma of Male Breast	113459	42272	91											
C0020608	C0206762	Hypodontia	"Limb Deformities, Congenital"	4163	23025	91											
C0022735	C0028754	Klinefelter Syndrome	Obesity	4232	294455	91											
C0022336	C0752347	Creutzfeldt-Jakob disease	Lewy Body Disease	7921	5198	91											
C0008350	C0020459	Cholelithiasis	Hyperinsulinism	37538	81647	91											
C0035334	C1136249	Retinitis Pigmentosa	"Mental Retardation, X-Linked"	10816	14636	91											
C0085580	C0152171	Essential Hypertension	Idiopathic pulmonary hypertension	31557	4458	91											
C0027127	C0238357	Myotonia Congenita	Hyperkalemic periodic paralysis	1128	380	91											
C0006142	C2700553	Malignant neoplasm of breast	Omenn Syndrome	309961	8054	91											
C0085390	C0206686	Li-Fraumeni Syndrome	Adrenocortical carcinoma	1216	3369	90											
C0238157	C1567741	Benign hematuria	Alport Syndrome	1429	2387	90											
C1866398	C3551377	Proteus-Like Syndrome	COWDEN DISEASE 1	729	634	90											
C0010674	C4281993	Cystic Fibrosis	Neonatal respiratory distress	49380	19577	90											
C0162429	C0268689	Malnutrition	"Vitamin D-dependent rickets, type 1"	138291	151	90											
C0008533	C0020640	Hemophilia B	Inherited Factor II deficiency	4899	1411	89											
C0027051	C0398648	Myocardial Infarction	Posttransfusion purpura	234627	22651	89											
C0005684	C0023467	Malignant neoplasm of urinary bladder	"Leukemia, Myelocytic, Acute"	59248	73162	89											
C0002878	C0011860	"Anemia, Hemolytic"	"Diabetes Mellitus, Non-Insulin-Dependent"	74976	142114	89											
C0020557	C3151466	Hypertriglyceridemia	HEPATIC LIPASE DEFICIENCY	14669	450	89											
C0025202	C1168401	melanoma	Squamous cell carcinoma of the head and neck	122636	7214	89											
C0020538	C0398625	Hypertensive disease	Protein C Deficiency	480148	1973	89											
C0007959	C0011053	Charcot-Marie-Tooth Disease	Deafness	4570	39032	88											
C0339535	C3495587	"Night blindness, congenital stationary"	"Night Blindness, Congenital Stationary, Type 1A"	88	88	88											
C0038015	C0270685	Spondyloepiphyseal Dysplasia	Cerebral calcification	29077	5796	88											
C0035372	C3150705	Rett Syndrome	FOXG1 syndrome	3467	116	88											
C0205711	C4016483	Pelizaeus-Merzbacher Disease	"PELIZAEUS-MERZBACHER DISEASE, CONNATAL"	617	88	88											
C1851920	C2673535	Dopa-Responsive Dystonia	"DYSTONIA, DOPA-RESPONSIVE, WITH OR WITHOUT HYPERPHENYLALANINEMIA, AUTOSOMAL RECESSIVE"	488	238	88											
C0268435	C1970309	"Renal Tubular Acidosis, Type II"	"Renal Tubular Acidosis, Proximal, With Ocular Abnormalities And Mental Retardation"	4034	88	88											
C0339535	C1848172	"Night blindness, congenital stationary"	"NIGHT BLINDNESS, CONGENITAL STATIONARY, TYPE 2A"	88	88	88											
C4017525	C4284317	"BETA-PLUS-THALASSEMIA, DOMINANT"	HEMOGLOBIN MALHACEN PHENOTYPE	223137	3633	88											
C0027092	C0339535	Myopia	"Night blindness, congenital stationary"	21779	88	88											
C0220658	C3553943	Pfeiffer Syndrome	"T-CELL IMMUNODEFICIENCY, RECURRENT INFECTIONS, AND AUTOIMMUNITY WITH OR WITHOUT CARDIAC MALFORMATIONS"	2199	168719	88											
C0020473	C0270612	Hyperlipidemia	Leukoencephalopathies	77353	29481	88											
C0026760	C0270685	Multiple Epiphyseal Dysplasia	Cerebral calcification	29049	5796	88											
